Ram,Price_euros,Intel,Intel_baja,Intel_media,Intel_alta,AMD,Gaming,Ultrabook,Notebook,Nvidia,Nvidia_Geforce,Nvidia_graphics,Intel_graphics,Screen_HD,SSD,HDD,HDD+SSD,ppi
8,575.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,389.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,810.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
16,2267.86,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1829.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
8,1500.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,943.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,1149.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1950.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
12,899.0,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
4,729.9,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
16,1899.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,276.053530085501
8,793.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,1154.0,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
8,979.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,141.21199808219862
16,2699.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
12,1327.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,141.21199808219862
4,699.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,165.6321180513006
4,479.0,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,224.17380907857276
8,941.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
8,879.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
8,1468.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,1738.27,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,141.21199808219862
8,739.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
16,1849.0,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,146.86047800548656
8,629.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
16,1899.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
4,459.9,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,117.82653006268643
4,390.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,498.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,599.9,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
4,398.0,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
8,1008.52,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1655.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
4,977.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,141.21199808219862
8,1292.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
4,619.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
16,1890.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,389.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,111.93520355955211
16,2450.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
16,859.01,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
8,1483.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,176.23257360658386
32,3659.4,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,254.67134914246222
8,789.01,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
8,806.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
